Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,98;1,1;0;0;1,1;0;27;0,597;0;0;54,81;0,7284689;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,97;1,1;0;0;1,1;0;27;0,597;0;0;54,81;0,7284689;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,97;1,1;0;0;1,1;0;27;0,597;0;0;54,81;0,7284689;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,96;1,1;0;0;1,1;0;27;0,597;0;0;53,49;0,71092504;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,96;1,1;0;0;1,1;0;27;0,597;0;0;53,49;0,71092504;0;;
314,84;0;0;0;0;0;0;276,11;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,95;1,1;0;0;1,1;0;27;0,597;0;0;53,49;0,71092504;0;;
314,84;0;0;0;0;0;0;276,1;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,94;1,1;0;0;1,1;0;27;0,597;0;0;53,49;0,71092504;0;;
314,84;0;0;0;0;0;0;276,1;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,94;1,1;0;0;1,1;0;27;0,597;0;0;56,48;0,75066454;0;;
314,84;0;0;0;0;0;0;276,1;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,93;1,1;0;0;1,1;0;27;0,597;0;0;56,48;0,75066454;0;;
314,84;0;0;0;0;0;0;276,1;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,93;1,1;0;0;1,1;0;27;0,597;0;0;56,48;0,75066454;0;;
314,84;0;0;0;0;0;0;276,09;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,92;1,1;0;0;1,1;0;27;0,597;0;0;56,48;0,75066454;0;;
314,84;0;0;0;0;0;0;276,09;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,92;1,1;0;0;1,1;0;27;0,597;0;0;51,55;0,685140883;0;;
314,84;0;0;0;0;0;0;276,09;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,91;1,1;0;0;1,1;0;27;0,597;0;0;51,55;0,685140883;0;;
